Wall time,Step,Value
1553021168.9268703,6103,-0.403531551361084
1553021170.1851187,6105,-0.4263811409473419
1553021180.528648,6121,-0.2911175787448883
1553021181.74175,6123,-0.4640129804611206
1553021185.5427237,6129,-0.35692352056503296
1553021186.9319994,6131,-0.3540859818458557
1553021198.3216302,6149,-0.554279088973999
1553021213.069069,6172,-0.26596611738204956
1553021218.825562,6181,-0.35071733593940735
1553021230.8976312,6200,-0.31549492478370667
1553021238.1011763,6211,-0.33713075518608093
1553021239.3212864,6213,-0.40543243288993835
1553021243.1237404,6219,-0.4331519603729248
1553021251.4906316,6232,-0.37602248787879944
1553021262.9198,6250,-0.3071931302547455
1553021287.8603146,6289,-0.40811312198638916
1553021302.6364257,6312,-0.3701249957084656
1553021305.2490907,6316,-0.3069383502006531
1553021305.8596458,6317,-0.4395406246185303
1553021323.9545748,6341,-0.46254363656044006
1553021331.107061,6352,-0.26129138469696045
1553021338.0748487,6363,-0.17754347622394562
1553021342.5186365,6370,-0.4878675639629364
1553021346.3030808,6376,-0.349435031414032
1553021361.6595428,6400,-0.4075818657875061
1553021399.407143,6459,-0.48695775866508484
1553021422.39061,6495,-0.47366297245025635
1553021423.0021656,6496,-0.5122694373130798
1553021425.6371226,6500,-0.4075625538825989
1553021438.466679,6520,-0.43655073642730713
1553021439.0952632,6521,-0.4466917812824249
1553021439.837525,6522,-0.3767610788345337
1553021444.8381875,6530,-0.38499730825424194
1553021472.968123,6574,-0.3928886651992798
1553021477.3771281,6581,-0.4309937059879303
1553021479.3379154,6584,-0.21442286670207977
1553021491.471342,6603,-0.4363549053668976
1553021526.0722845,6657,-0.34012502431869507
1553021531.7275534,6666,-0.2712216377258301
1553021533.0817833,6668,-0.3772583603858948
1553021535.663129,6672,-0.3731417655944824
1553021539.4826007,6678,-0.39281824231147766
1553021541.3202698,6681,-0.38055992126464844
1553021545.870418,6688,-0.3103671967983246
1553021550.8754513,6696,-0.502202570438385
1553021552.846243,6699,-0.4586044251918793
1553021560.4811933,6711,-0.48687270283699036
1553021577.7844772,6738,-0.3896019756793976
1553021580.4008548,6742,-0.390225887298584
1553021587.386101,6753,-0.37570133805274963
1553021594.4055068,6764,-0.4176844656467438
1553021637.8168645,6832,-0.3771001696586609
1553021646.6839213,6846,-0.25731250643730164
1553021651.8456116,6854,-0.38571032881736755
1553021660.8377209,6868,-0.18260541558265686
1553021661.4452853,6869,-0.33353641629219055
1553021678.0184152,6895,-0.3887535035610199
1553021686.984061,6909,-0.28987231850624084
1553021703.0449839,6934,-0.384613573551178
1553021721.646946,6963,-0.18734179437160492
1553021723.4655976,6966,-0.4554992616176605
1553021740.2813034,6992,-0.305745929479599
1553021751.6528718,7010,-0.39924952387809753
1553021754.233216,7014,-0.4183610677719116
1553021770.2299674,7039,-0.45341479778289795
1553021804.5776913,7091,-0.2935255765914917
1553021814.358579,7106,-0.4272574484348297
1553021819.8979526,7114,-0.4087323546409607
1553021820.5580864,7115,-0.46303778886795044
1553021835.8735306,7137,-0.28225043416023254
1553021847.565155,7155,-0.4147682785987854
1553021873.2102063,7195,-0.424640417098999
1553021886.8937707,7216,-0.4115484654903412
1553021907.791293,7247,-0.3311029076576233
1553021941.8804576,7300,-0.44048067927360535
1553021948.9299598,7311,-0.5000519156455994
1553021960.7721686,7329,-0.4046674966812134
1553021967.363156,7339,-0.27351996302604675
1553021967.9797163,7340,-0.36722445487976074
1553021980.4820354,7359,-0.41432616114616394
1553021995.658922,7382,-0.3097339868545532
1553022008.1742806,7401,-0.458077073097229
1553022027.7749448,7431,-0.4589475095272064
1553022033.5401967,7440,-0.42082393169403076
1553022035.5289896,7443,-0.3535340130329132
1553022039.968025,7450,-0.45534464716911316
1553022046.3298867,7460,-0.35584601759910583
1553022048.2987056,7463,-0.4118487536907196
1553022051.3745003,7468,-0.3806244134902954
1553022057.5301075,7478,-0.3960054814815521
1553022072.2380595,7502,-0.4689624607563019
1553022077.7475739,7511,-0.47980302572250366
1553022089.388893,7530,-0.427266925573349
1553022099.7996025,7547,-0.5548825860023499
1553022139.159196,7609,-0.40711042284965515
1553022161.4597967,7644,-0.30843788385391235
1553022172.219658,7661,-0.35947173833847046
1553022178.6155505,7671,-0.42735838890075684
1553022181.8124552,7676,-0.4193384349346161
1553022188.985104,7687,-0.2617357671260834
1553022192.8035598,7693,-0.40588709712028503
1553022197.2131698,7700,-0.3312171399593353
1553022208.797085,7718,-0.3463512361049652
1553022211.9709682,7723,-0.41985341906547546
1553022215.172878,7728,-0.38994085788726807
1553022226.6713264,7746,-0.3974071443080902
1553022233.7836103,7757,-0.2953466475009918
1553022235.6112843,7760,-0.34288695454597473
1553022248.399893,7780,-0.36783385276794434
1553022253.5765963,7788,-0.37076684832572937
1553022259.9674032,7798,-0.34616631269454956
1553022282.2773745,7833,-0.38739368319511414
1553022285.4502563,7838,-0.4555285573005676
1553022324.3785205,7899,-0.3832843005657196
1553022324.990076,7900,-0.4319983720779419
1553022345.5302424,7932,-0.27992546558380127
1553022372.9477484,7975,-0.39446189999580383
1553022378.1063666,7983,-0.3090721368789673
1553022383.1229253,7991,-0.44532522559165955
1553022383.866601,7992,-0.3016742765903473
1553022405.473078,8026,-0.34845128655433655
1553022412.6198115,8037,-0.25150591135025024
1553022420.21887,8049,-0.34086906909942627
1553022431.0148828,8066,-0.4762035608291626
1553022469.3881333,8126,-0.3882961869239807
1553022484.6971753,8150,-0.43546706438064575
1553022503.854263,8180,-0.31058067083358765
1553022506.4197757,8184,-0.37804141640663147
1553022515.3477354,8198,-0.34201744198799133
1553022526.1436474,8215,-0.25690752267837524
1553022529.9270852,8221,-0.4942757189273834
1553022556.8830817,8263,-0.3677787184715271
1553022567.0182362,8279,-0.24550074338912964
1553022574.0029356,8290,-0.3723015785217285
1553022579.8418148,8299,-0.3205176591873169
1553022585.028628,8307,-0.266682505607605
1553022597.804161,8327,-0.33474498987197876
1553022599.0208282,8329,-0.38919222354888916
1553022600.998625,8332,-0.3271488845348358
1553022602.2203498,8334,-0.36008065938949585
